Date,Location,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY
2023-09-01,"Fry's Spring, VA",419,-0.12,0.04,12,-0.52,-0.46
2023-09-01,"Jefferson Park, VA",240,-0.09,-0.02,4,-0.2,-0.5
2023-10-01,"Fifeville, VA",279,-0.56,-0.33,12,5.0,0.5
2023-10-01,"Martha Jefferson, VA",995,2.57,1.12,3,-0.75,-0.4
2023-10-01,"Fry's Spring, VA",387,-0.08,-0.04,8,-0.33,-0.67
2023-10-01,"Jefferson Park, VA",263,0.1,0.2,6,0.5,0.5
2023-10-01,"Charlottesville, VA",405,-0.1,0.03,48,0.2,-0.25
2023-10-01,"Venable, VA",473,-0.38,0.966,2,0.0,-0.333
2023-10-01,"Belmont, VA",508,-0.08,-0.236,16,-0.56,-0.304
2023-11-01,"Fifeville, VA",281,-0.72,-0.24,12,3.0,0.33
2023-11-01,"Charlottesville, VA",375,-0.07,-0.12,48,0.0,-0.42
2023-11-01,"Venable, VA",473,0.0,0.229,2,0.5,0.5
2023-11-01,"Belmont, VA",450,-0.11,-0.167,7,0.0,0.696
2023-11-01,"Jefferson Park, VA",263,0.0,-0.28,6,0.0,0.0
2023-11-01,"Fry's Spring, VA",419,0.08,0.12,4,-0.5,-0.76
2023-11-01,"Martha Jefferson, VA",995,2.54,1.12,3,-0.75,0.0
2023-12-01,"Venable, VA",1300,1.75,0.762,3,0.0,0.5
2023-12-01,"Fifeville, VA",300,-0.7,0.04,12,3.0,0.5
2023-12-01,"Charlottesville, VA",511,0.36,0.12,65,0.35,-0.19
2023-12-01,"Martha Jefferson, VA",995,2.32,0.0,3,-0.75,0.5
2023-12-01,"Belmont, VA",425,-0.06,0.03,7,-0.14,0.65
2023-12-01,"Jefferson Park, VA",382,0.45,0.08,9,0.5,0.29
2023-12-01,"Fry's Spring, VA",402,-0.04,0.12,8,1.0,-0.58
2024-01-01,"Fifeville, VA",310,-0.69,-0.11,7,1.33,-0.3
2024-01-01,"Venable, VA",1300,0.0,0.762,3,0.33,0.5
2024-01-01,"Belmont, VA",433,0.02,0.03,6,0.83,0.647
2024-01-01,"Charlottesville, VA",544,0.06,0.3,32,-0.51,-0.2
2024-01-01,"Martha Jefferson, VA",488,0.57,-0.7,2,-0.71,1.0
2024-01-01,"Fry's Spring, VA",437,0.09,0.25,8,0.0,-0.43
2024-01-01,"Jefferson Park, VA",465,0.22,0.31,4,-0.56,-0.5
2024-02-01,"Charlottesville, VA",454,-0.17,0.24,40,0.25,-0.02
